370041			Heidelberg, Archäologisches Institut number unknown	Hammerstädt, Griechische Anaphorenfragmente (Pap. Colon. 28) p. 203-218 no. 19	
370900			Heidelberg, Archäologisches Institut number unknown	Oriens Christianus 62 (1978), p. 138-139 no. 3-12, pl. 16-17 no. 3-12	
105097			Heidelberg, Archäologisches Institut number unknown	SEG 39 1745 (1)	
105098			Heidelberg, Archäologisches Institut number unknown	SEG 39 1745 (2)	
92858			Heidelberg, Archäologisches Institut number unknown	Suppl. Mag. 1 37	
341737			Heidelberg, Institut für Papyrologie 2861 Vo	ZPE 188 (2014), p. 241-244	
106497	Arabic		Heidelberg, Institut für Papyrologie Arab 1204	P. Heid. Arab. 1 p. 7	
106496	Arabic		Heidelberg, Institut für Papyrologie Arab 1205	P. Heid. Arab. 1 p. 6-7	
397695	Demotic		Heidelberg, Institut für Papyrologie D 64	Mélanges Ola el-Aguizy (BdE 164) p. 331-332	
397696	Demotic		Heidelberg, Institut für Papyrologie D 661	Mélanges Ola el-Aguizy (BdE 164) p. 333-334	
383713	Greek		Heidelberg, Institut für Papyrologie G 698 c	Zeitschrift für Ägyptische Sprache und Altertumskunde (ZÄS) 141 (2014), p. 164-165 no. 2	
697548	Coptic		Heidelberg, Institut für Papyrologie Kopt. 438	Schüssler, Biblia Coptica 2.2 p. 32 [Sa 195]	
383449	Coptic		Heidelberg, Institut für Papyrologie Kopt. 439	Journal of Coptic Studies 16 (2014), p. 225-228 no. 3	
383447	Coptic		Heidelberg, Institut für Papyrologie Kopt. 440	Journal of Coptic Studies 16 (2014), p. 220 -223 no. 1	
383448	Coptic		Heidelberg, Institut für Papyrologie Kopt. 441	Journal of Coptic Studies 16 (2014), p. 223-225 no. 2	
80899	Demotic		Heidelberg, Institut für Papyrologie O. Dem. 1776	Enchoria 10 (1980), p. 18 no. 4	
80896	Demotic	o_dem_216	Heidelberg, Institut für Papyrologie O. Dem. 216	Enchoria 10 (1980), p. 17 no. 3	
52450	Demotic	o_dem_460	Heidelberg, Institut für Papyrologie O. Dem. 460	O. Tempeleide p. 390 no. DO Heidelberg 460 descr.	
52451	Demotic	o_dem_467	Heidelberg, Institut für Papyrologie O. Dem. 467	O. Tempeleide p. 390 no. DO Heidelberg 467 descr.	
92131	Demotic	o_dem_738	Heidelberg, Institut für Papyrologie O. Dem. 738	Archiv für Papyrusforschung (AfP) 46 (2000), p. 268 descr.	
50503	Demotic	o_dem_739	Heidelberg, Institut für Papyrologie O. Dem. 739	O. Tempeleide 91	
80893	Demotic		Heidelberg, Institut für Papyrologie O. Dem. 999	Enchoria 10 (1980), p. 16 no. 2	
80418	Greek	o_g_1	Heidelberg, Institut für Papyrologie O. G 1	O. Heid. 196	o.heid;;196
80430	Greek	o_g_10	Heidelberg, Institut für Papyrologie O. G 10	O. Heid. 208	o.heid;;208
78328	Greek	o_g_100	Heidelberg, Institut für Papyrologie O. G 100	O. Heid. 213	o.heid;;213
80658	Greek	o_g_101	Heidelberg, Institut für Papyrologie O. G 101	O. Heid. 460 descr.	
80668	Greek	o_g_102	Heidelberg, Institut für Papyrologie O. G 102	O. Heid. 470	
80427	Greek		Heidelberg, Institut für Papyrologie O. G 103 + Heidelberg, Institut für Papyrologie O. G 373	O. Heid. 205	
80440	Greek		Heidelberg, Institut für Papyrologie O. G 104	O. Heid. 221	
80293	Greek		Heidelberg, Institut für Papyrologie O. G 105	O. Heid. 41	
80527	Greek		Heidelberg, Institut für Papyrologie O. G 106	O. Heid. 312	
80270	Greek		Heidelberg, Institut für Papyrologie O. G 107	O. Heid. 7	
80562	Greek		Heidelberg, Institut für Papyrologie O. G 108	O. Heid. 356	
80433	Greek		Heidelberg, Institut für Papyrologie O. G 109	O. Heid. 212	
78336	Greek		Heidelberg, Institut für Papyrologie O. G 11	O. Heid. 80	
80305	Greek		Heidelberg, Institut für Papyrologie O. G 110	O. Heid. 58	
80450	Greek		Heidelberg, Institut für Papyrologie O. G 115	O. Heid. 231	
80436	Greek		Heidelberg, Institut für Papyrologie O. G 116	O. Heid. 216	
80303	Greek		Heidelberg, Institut für Papyrologie O. G 117	O. Heid. 51	
80287	Greek		Heidelberg, Institut für Papyrologie O. G 118	O. Heid. 34	
80617	Greek		Heidelberg, Institut für Papyrologie O. G 119	O. Heid. 415	
78349	Greek		Heidelberg, Institut für Papyrologie O. G 12	O. Heid. 105	o.heid;;105
80336	Greek		Heidelberg, Institut für Papyrologie O. G 120	O. Heid. 108	o.heid;;108
79279	Greek		Heidelberg, Institut für Papyrologie O. G 121	O. Heid. 322	
80289	Greek		Heidelberg, Institut für Papyrologie O. G 122	O. Heid. 37	
80618	Greek		Heidelberg, Institut für Papyrologie O. G 123	O. Heid. 416	
80371	Greek		Heidelberg, Institut für Papyrologie O. G 124	O. Heid. 148	
80493	Greek		Heidelberg, Institut für Papyrologie O. G 125	O. Heid. 275	
80278	Greek		Heidelberg, Institut für Papyrologie O. G 126	O. Heid. 21	
80302	Greek		Heidelberg, Institut für Papyrologie O. G 127	O. Heid. 50	
78318	Greek		Heidelberg, Institut für Papyrologie O. G 128	O. Heid. 19	
80126	Greek		Heidelberg, Institut für Papyrologie O. G 129	O. Heid. 310	
78326	Greek		Heidelberg, Institut für Papyrologie O. G 13	O. Heid. 195	
80345	Greek		Heidelberg, Institut für Papyrologie O. G 130	O. Heid. 120	
80652	Greek		Heidelberg, Institut für Papyrologie O. G 131	O. Heid. 454 descr.	
80434	Greek		Heidelberg, Institut für Papyrologie O. G 132	O. Heid. 214	
80286	Greek		Heidelberg, Institut für Papyrologie O. G 133 + Heidelberg, Institut für Papyrologie O. G 328	O. Heid. 33	
80529	Greek		Heidelberg, Institut für Papyrologie O. G 134	O. Heid. 323	
80654	Greek		Heidelberg, Institut für Papyrologie O. G 135	O. Heid. 456 descr.	
78327	Greek		Heidelberg, Institut für Papyrologie O. G 136	O. Heid. 140	
80531	Greek		Heidelberg, Institut für Papyrologie O. G 137	O. Heid. 325	
80279	Greek		Heidelberg, Institut für Papyrologie O. G 138	O. Heid. 22	
80653	Greek		Heidelberg, Institut für Papyrologie O. G 139	O. Heid. 455	
80413	Greek		Heidelberg, Institut für Papyrologie O. G 14	O. Heid. 189	
78320	Greek		Heidelberg, Institut für Papyrologie O. G 140	O. Heid. 14	
80563	Greek		Heidelberg, Institut für Papyrologie O. G 141	O. Heid. 357	
80280	Greek		Heidelberg, Institut für Papyrologie O. G 142	O. Heid. 23	
80274	Greek		Heidelberg, Institut für Papyrologie O. G 143	O. Heid. 12	
80635	Greek		Heidelberg, Institut für Papyrologie O. G 144	O. Heid. 436	
80378	Greek		Heidelberg, Institut für Papyrologie O. G 145	O. Heid. 155	
80375	Greek		Heidelberg, Institut für Papyrologie O. G 146	O. Heid. 152	
80366	Greek		Heidelberg, Institut für Papyrologie O. G 147	O. Heid. 142	
78345	Greek		Heidelberg, Institut für Papyrologie O. G 148	O. Heid. 100	o.heid;;100
78329	Greek		Heidelberg, Institut für Papyrologie O. G 149 + Heidelberg, Institut für Papyrologie O. G 358	O. Heid. 143	
78352	Greek		Heidelberg, Institut für Papyrologie O. G 15	O. Heid. 109	o.heid;;109
80275	Greek		Heidelberg, Institut für Papyrologie O. G 150	O. Heid. 15	
80489	Greek		Heidelberg, Institut für Papyrologie O. G 151	O. Heid. 271	
80340	Greek		Heidelberg, Institut für Papyrologie O. G 152	O. Heid. 113	o.heid;;113
80273	Greek		Heidelberg, Institut für Papyrologie O. G 153	O. Heid. 11	o.heid;;11
80539	Greek		Heidelberg, Institut für Papyrologie O. G 154	O. Heid. 333	
80452	Greek		Heidelberg, Institut für Papyrologie O. G 156	O. Heid. 233	
80447	Greek		Heidelberg, Institut für Papyrologie O. G 157	O. Heid. 228	
80435	Greek		Heidelberg, Institut für Papyrologie O. G 158	O. Heid. 215	
80288	Greek		Heidelberg, Institut für Papyrologie O. G 159 + Heidelberg, Institut für Papyrologie O. G 270	O. Heid. 36	
80560	Greek		Heidelberg, Institut für Papyrologie O. G 16 + Heidelberg, Institut für Papyrologie O. G 347 + Heidelberg, Institut für Papyrologie O. G 47	O. Heid. 354	
80669	Greek		Heidelberg, Institut für Papyrologie O. G 160	O. Heid. 471 descr.	
