name,type,arab,cop,dem,gr,hebr,ostr,syr usw.,to delete,tf_arab,,tf_cop,,tf_dem,,tf_gr,,tf_hebr,,tf_ostr,,"tf_syr,pah,lat,hier,aram",,label,type,length,length,original length,
GR_EXTRA,,,,,GR_EXTRA,,,,x,IGNORE,DELETE,IGNORE,DELETE,IGNORE,DELETE,DELETE,DELETE,IGNORE,DELETE,IGNORE,DELETE,IGNORE,DELETE,,,,,,
Inhalt,string,Inhalt,Inhalt,Inhalt,Inhalt,Inhalt,Inhalt,Inhalt,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Inhalt,text,,32768,inhalt,6821
J,integer,J,J,J,J,J,J,J,,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,J,integer,16,16,j1,4
J2,integer,J2,J2,J2,J2,J2,J2,J2,,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,J2,integer,16,16,j2,4
J2Hig,integer,J2Hig,,,,,,,,KEEP,integer,INSERT,integer,INSERT,integer,INSERT,integer,INSERT,integer,INSERT,integer,INSERT,integer,J2Hig,integer,16,16,j2hig,3
Jh,integer,Jh,Jh,Jh,Jh,Jh,Jh,Jh,,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,Jh,integer,8,8,jh1,2
Jh2,integer,Jh2,Jh2,Jh2,Jh2,Jh2,Jh2,Jh2,,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,Jh2,integer,8,8,jh2,2
Jh2Hig,integer,Jh2Hig,,,,,,,,KEEP,integer,INSERT,integer,INSERT,integer,INSERT,integer,INSERT,integer,INSERT,integer,INSERT,integer,Jh2Hig,integer,8,8,jh2hig,2
Jhd,,Jhd,Jhd,Jhd,Jhd,Jhd,Jhd,Jhd,x,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,
Jhd2,,Jhd2,Jhd2,Jhd2,Jhd2,Jhd2,Jhd2,Jhd2,x,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,
Jhdt,,Jhdt,Jhdt,Jhdt,Jhdt,Jhdt,Jhdt,Jhdt,x,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,
JhHig,integer,JhHig,,,,,,,,KEEP,integer,INSERT,integer,INSERT,integer,INSERT,integer,INSERT,integer,INSERT,integer,INSERT,integer,JhHig,integer,8,8,jh1hig,2
JHig,integer,JHig,,,,,,,,KEEP,integer,INSERT,integer,INSERT,integer,INSERT,integer,INSERT,integer,INSERT,integer,INSERT,integer,JHig,integer,16,16,j1hig,4
JPEG (150 dpi),string,JPEG (150 dpi),JPEG (72 dpi),JPEG (72 dpi),JPEG (72 dpi),,,,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,INSERT,string,INSERT,string,INSERT,string,JPEG (150 dpi),string,,,,
JPEG (72 dpi),string,JPEG (72 dpi),JPEG (150 dpi),JPEG (150 dpi),JPEG (150 dpi),,,,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,INSERT,string,INSERT,string,INSERT,string,JPEG (72 dpi),string,,,,
Katalogisierung,string,Katalogisierung,,,,,,,,KEEP,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,Katalogisierung,string,64,64,katalogisierung,19
LDAB,integer,LDAB,LDAB,LDAB,LDAB,,,,,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,INSERT,integer,INSERT,integer,INSERT,integer,LDAB,integer,16,16,ldab,4
Link Abb.,string,,Link Abb.,Link Abb.,Link Abb.,,,,,INSERT,string,KEEP,string,KEEP,string,KEEP,string,INSERT,string,INSERT,string,INSERT,string,Link Abb.,string,,1024,link_abb,205
Literatur,string,Literatur,Literatur,Literatur,Literatur,Literatur,Literatur,Literatur,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Literatur,text,,2048,literatur,667
M,integer,M,M,M,M,M,M,M,,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,M,integer,8,8,m1,2
M2,integer,M2,M2,M2,M2,M2,M2,M2,,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,M2,integer,8,8,m2,2
M2Hig,string,M2Hig,,,,,,,,KEEP,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,M2Hig,string,64,64,m2hig,14
Material,string,Material,Material,Material,Material,Material,Material,Material,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Material,string,64,64,material,16
